user_id,onboarding_completed,churn_risk_score
2446,0,0.651
2301,0,0.651
2490,0,0.651
760,0,0.651
822,0,0.651
1375,0,0.651
2606,0,0.65
1060,0,0.65
541,0,0.649
387,0,0.648
1508,0,0.648
1970,0,0.648
2030,0,0.647
1632,0,0.646
1681,0,0.646
2889,0,0.645
1828,0,0.645
1933,0,0.645
2977,0,0.645
345,0,0.645
1007,0,0.644
2894,0,0.644
235,0,0.644
2174,0,0.644
912,0,0.644
530,0,0.644
2810,0,0.644
1590,0,0.644
1620,0,0.644
1033,0,0.643
2475,0,0.643
2477,0,0.643
1568,0,0.643
728,0,0.643
2755,0,0.643
2658,0,0.643
2338,0,0.643
2245,0,0.643
1749,0,0.642
2914,0,0.642
1721,0,0.642
2929,0,0.642
1492,0,0.642
2506,0,0.642
1142,0,0.642
938,0,0.642
133,0,0.642
2560,0,0.641
1140,0,0.641
1991,0,0.641
31,0,0.641
1218,0,0.641
449,0,0.641
2414,0,0.641
2435,0,0.641
1411,0,0.641
2691,0,0.641
1601,0,0.641
250,0,0.641
1050,0,0.641
1956,0,0.641
2053,0,0.64
1527,0,0.64
2377,0,0.64
114,0,0.64
886,0,0.64
1705,0,0.64
439,0,0.64
2179,0,0.64
2635,0,0.64
2110,0,0.64
1546,0,0.64
1561,0,0.64
1982,0,0.64
2299,0,0.64
1769,0,0.639
2900,0,0.639
1288,0,0.639
357,0,0.639
2002,0,0.639
569,0,0.639
1602,0,0.639
320,0,0.639
2148,0,0.639
2922,0,0.638
462,0,0.638
618,0,0.638
2861,0,0.638
1699,0,0.638
915,0,0.638
370,0,0.638
1061,0,0.638
1281,0,0.638
1344,0,0.638
2544,0,0.638
1172,0,0.638
2765,0,0.638
475,0,0.637
2451,0,0.637
1525,0,0.637
121,0,0.637
1289,0,0.637
917,0,0.637
1983,0,0.637
1922,0,0.637
2871,0,0.637
1772,0,0.637
1476,0,0.637
221,0,0.637
2115,0,0.637
1045,0,0.637
840,0,0.637
153,0,0.637
741,0,0.636
2070,0,0.636
1960,0,0.636
550,0,0.636
678,0,0.636
1692,0,0.636
255,0,0.636
1523,0,0.636
1095,0,0.636
2046,0,0.636
2075,0,0.636
1020,0,0.636
1664,0,0.636
927,0,0.636
2364,0,0.636
1367,0,0.636
721,0,0.636
2365,0,0.636
1386,0,0.636
1778,0,0.636
2892,0,0.636
710,0,0.636
2418,0,0.635
1687,0,0.635
481,0,0.635
2449,0,0.635
6,0,0.635
145,0,0.635
797,0,0.635
2668,0,0.635
2679,0,0.635
993,0,0.635
2704,0,0.635
230,0,0.635
291,0,0.635
1118,0,0.635
