user_id,event_date,event_type
1,2025-05-13,login
1,2025-04-13,login
1,2025-04-25,login
1,2025-05-19,login
1,2025-04-23,login
1,2025-04-28,feature_use
1,2025-05-12,login
1,2025-04-16,login
1,2025-05-03,login
1,2025-05-11,login
1,2025-05-10,feature_use
2,2025-10-16,login
2,2025-10-07,feature_use
2,2025-10-26,feature_use
2,2025-10-30,login
2,2025-10-25,login
3,2025-05-27,login
3,2025-05-06,login
3,2025-06-19,feature_use
3,2025-10-19,login
3,2025-08-09,login
3,2025-08-30,login
3,2025-10-22,login
3,2025-08-03,feature_use
3,2025-07-10,feature_use
3,2025-09-25,login
3,2025-08-19,login
3,2025-08-27,login
3,2025-07-01,login
3,2025-08-29,login
3,2025-05-20,login
3,2025-06-30,login
3,2025-05-22,login
3,2025-05-16,login
3,2025-10-10,login
3,2025-05-12,login
3,2025-09-01,feature_use
3,2025-09-08,login
3,2025-10-25,login
3,2025-05-26,support_ticket
3,2025-08-22,login
3,2025-10-09,login
3,2025-06-01,login
3,2025-06-13,login
3,2025-06-18,support_ticket
3,2025-10-29,login
3,2025-09-05,feature_use
3,2025-05-03,login
3,2025-05-29,login
3,2025-10-24,login
3,2025-04-25,feature_use
3,2025-10-12,login
3,2025-05-04,login
3,2025-06-08,feature_use
3,2025-05-13,login
3,2025-10-21,feature_use
3,2025-04-23,feature_use
3,2025-09-19,login
3,2025-10-23,login
3,2025-07-29,feature_use
3,2025-05-31,login
3,2025-04-27,login
3,2025-07-15,login
3,2025-10-11,login
3,2025-05-05,login
3,2025-07-31,login
3,2025-09-22,login
3,2025-10-28,feature_use
3,2025-04-17,feature_use
3,2025-09-16,login
3,2025-07-12,login
3,2025-06-02,login
3,2025-08-04,login
3,2025-09-15,login
3,2025-09-24,login
3,2025-07-25,login
3,2025-06-04,login
3,2025-05-24,login
3,2025-07-14,login
3,2025-09-06,login
3,2025-08-05,login
3,2025-06-14,login
3,2025-08-12,login
3,2025-10-16,login
3,2025-07-02,login
3,2025-07-19,feature_use
3,2025-07-17,login
3,2025-09-07,login
3,2025-10-06,login
3,2025-09-23,feature_use
3,2025-06-15,login
3,2025-06-10,feature_use
3,2025-05-07,feature_use
3,2025-10-08,support_ticket
3,2025-05-01,feature_use
3,2025-06-09,login
3,2025-08-16,feature_use
3,2025-09-20,login
3,2025-09-03,login
3,2025-10-13,feature_use
3,2025-05-25,feature_use
3,2025-05-10,login
3,2025-09-29,login
4,2025-04-23,login
4,2025-03-28,feature_use
4,2025-03-23,feature_use
4,2025-04-30,login
4,2025-05-05,feature_use
4,2025-03-24,login
4,2025-05-03,feature_use
4,2025-04-03,login
4,2025-04-28,login
4,2025-04-29,login
4,2025-03-18,login
4,2025-03-26,support_ticket
4,2025-04-13,login
4,2025-03-29,login
4,2025-04-12,login
4,2025-04-14,login
4,2025-04-06,feature_use
4,2025-03-30,login
4,2025-03-21,login
4,2025-04-05,login
4,2025-04-24,feature_use
4,2025-03-27,login
4,2025-05-08,login
4,2025-04-11,login
4,2025-03-17,feature_use
4,2025-04-08,login
4,2025-03-19,login
4,2025-03-25,login
4,2025-04-15,login
4,2025-04-10,login
4,2025-04-22,login
4,2025-03-13,login
4,2025-04-18,login
4,2025-05-07,login
4,2025-04-25,login
5,2025-08-05,feature_use
5,2025-07-19,login
5,2025-07-15,feature_use
5,2025-07-30,feature_use
5,2025-07-23,login
5,2025-07-12,login
5,2025-08-14,login
5,2025-07-09,login
5,2025-07-28,feature_use
5,2025-08-17,login
6,2025-02-15,login
6,2025-02-18,login
6,2025-01-31,feature_use
6,2025-02-06,login
6,2025-02-19,login
6,2025-01-28,login
7,2025-08-23,login
7,2025-05-16,login
7,2025-05-27,feature_use
7,2025-07-01,login
7,2025-07-30,login
7,2025-09-03,login
7,2025-07-04,login
7,2025-07-17,login
7,2025-06-16,login
7,2025-05-13,login
7,2025-04-19,login
7,2025-05-17,login
7,2025-08-18,login
7,2025-05-19,login
7,2025-08-06,login
7,2025-07-22,login
7,2025-08-31,login
7,2025-09-02,login
7,2025-08-19,login
7,2025-07-19,feature_use
7,2025-08-01,login
7,2025-07-07,login
7,2025-07-03,login
7,2025-07-23,support_ticket
7,2025-06-11,login
7,2025-05-20,login
7,2025-05-11,login
7,2025-08-05,feature_use
7,2025-06-25,feature_use
7,2025-06-18,login
7,2025-07-13,login
7,2025-08-22,feature_use
7,2025-04-18,login
7,2025-09-05,login
7,2025-04-24,support_ticket
7,2025-06-26,login
7,2025-04-17,feature_use
7,2025-07-06,login
7,2025-05-28,login
7,2025-05-10,login
7,2025-05-22,login
7,2025-09-04,login
7,2025-07-08,login
7,2025-08-08,feature_use
7,2025-05-25,login
7,2025-06-08,login
7,2025-04-13,login
7,2025-07-12,login
7,2025-07-02,login
7,2025-06-13,login
7,2025-08-14,login
7,2025-05-18,login
8,2025-05-05,feature_use
8,2025-05-02,login
8,2025-05-11,login
8,2025-05-15,login
8,2025-05-18,login
9,2025-10-26,login
9,2025-08-03,login
9,2025-10-23,login
9,2025-09-05,login
9,2025-10-05,login
9,2025-09-30,login
9,2025-09-24,feature_use
9,2025-10-20,login
9,2025-08-21,login
9,2025-08-14,login
9,2025-10-01,login
9,2025-10-06,login
9,2025-10-13,support_ticket
9,2025-10-04,feature_use
9,2025-10-16,feature_use
9,2025-10-10,login
9,2025-10-30,feature_use
9,2025-09-01,feature_use
9,2025-08-10,login
9,2025-09-04,login
9,2025-08-22,login
9,2025-10-25,login
9,2025-10-17,login
9,2025-09-13,login
9,2025-08-16,login
9,2025-10-03,login
9,2025-10-15,feature_use
9,2025-08-31,login
9,2025-08-20,login
9,2025-09-18,login
9,2025-09-23,login
9,2025-09-29,login
9,2025-08-08,feature_use
9,2025-09-02,login
9,2025-08-17,feature_use
9,2025-09-26,login
10,2025-10-19,login
10,2025-09-06,login
10,2025-06-17,login
10,2025-05-11,login
10,2025-09-07,login
10,2025-08-23,feature_use
10,2025-10-20,feature_use
10,2025-07-13,login
10,2025-08-28,login
10,2025-07-29,login
10,2025-04-20,login
10,2025-06-19,login
10,2025-05-15,login
10,2025-10-16,feature_use
10,2025-07-31,login
10,2025-07-17,login
10,2025-08-30,login
10,2025-06-04,feature_use
10,2025-10-29,login
10,2025-05-14,login
10,2025-07-03,feature_use
10,2025-07-07,login
10,2025-04-18,login
10,2025-05-18,login
10,2025-05-10,login
10,2025-10-26,login
10,2025-06-18,login
10,2025-09-21,login
10,2025-07-04,login
10,2025-08-27,login
10,2025-08-22,login
10,2025-06-22,login
10,2025-07-08,login
10,2025-05-16,login
10,2025-09-02,login
10,2025-06-02,feature_use
10,2025-04-22,login
10,2025-05-04,login
10,2025-06-27,support_ticket
10,2025-10-23,feature_use
10,2025-10-21,login
10,2025-08-04,login
10,2025-10-07,login
10,2025-07-14,login
10,2025-09-28,feature_use
10,2025-04-29,login
10,2025-04-12,login
10,2025-06-12,login
10,2025-08-17,login
10,2025-07-19,feature_use
10,2025-10-14,login
10,2025-06-28,feature_use
10,2025-10-01,feature_use
10,2025-07-24,login
10,2025-08-16,login
10,2025-10-09,login
10,2025-06-09,login
10,2025-09-05,login
10,2025-08-10,login
10,2025-10-03,login
10,2025-04-02,feature_use
10,2025-06-26,login
10,2025-05-23,login
10,2025-09-14,support_ticket
10,2025-08-07,login
10,2025-04-21,support_ticket
10,2025-05-30,login
10,2025-07-27,login
10,2025-08-15,login
10,2025-08-20,login
10,2025-05-20,login
10,2025-04-28,feature_use
10,2025-05-24,login
10,2025-07-20,support_ticket
10,2025-07-21,login
10,2025-06-15,login
10,2025-08-12,login
10,2025-04-30,login
10,2025-09-26,login
10,2025-04-05,login
10,2025-07-10,login
10,2025-04-19,login
10,2025-09-25,feature_use
10,2025-07-02,login
10,2025-04-10,login
10,2025-09-12,login
10,2025-10-04,login
10,2025-05-21,login
10,2025-09-20,login
10,2025-09-23,login
10,2025-07-22,login
10,2025-05-12,login
10,2025-05-09,login
10,2025-07-26,login
10,2025-05-31,login
10,2025-10-25,feature_use
10,2025-03-29,login
10,2025-10-27,login
10,2025-07-18,login
10,2025-04-09,login
10,2025-04-07,login
10,2025-05-17,login
10,2025-09-27,login
10,2025-08-25,login
10,2025-07-28,feature_use
10,2025-03-31,login
10,2025-04-26,login
10,2025-04-01,feature_use
10,2025-08-14,feature_use
10,2025-06-20,feature_use
10,2025-06-24,login
10,2025-09-17,login
10,2025-06-03,login
10,2025-06-23,login
10,2025-06-30,login
10,2025-06-16,login
10,2025-08-21,feature_use
10,2025-04-17,login
10,2025-08-29,login
10,2025-05-03,login
10,2025-10-30,feature_use
10,2025-04-13,login
10,2025-09-04,login
10,2025-05-02,feature_use
10,2025-05-26,feature_use
10,2025-05-28,login
10,2025-10-11,login
10,2025-10-12,feature_use
10,2025-04-04,feature_use
10,2025-09-16,login
10,2025-08-19,login
10,2025-10-10,login
10,2025-06-29,login
10,2025-04-24,feature_use
10,2025-09-29,feature_use
10,2025-10-17,feature_use
10,2025-04-14,login
11,2025-04-16,login
11,2025-04-19,support_ticket
11,2025-04-21,feature_use
11,2025-04-28,login
11,2025-04-25,support_ticket
11,2025-04-13,feature_use
11,2025-04-15,feature_use
12,2025-06-09,login
12,2025-06-24,login
12,2025-07-06,login
12,2025-07-10,login
12,2025-06-12,login
12,2025-06-16,login
12,2025-06-21,login
12,2025-07-04,login
12,2025-06-29,login
12,2025-07-01,feature_use
12,2025-06-26,login
12,2025-06-05,login
12,2025-06-06,login
12,2025-07-11,feature_use
12,2025-06-18,login
12,2025-06-30,login
12,2025-06-11,login
12,2025-06-14,feature_use
12,2025-06-23,login
12,2025-06-04,login
12,2025-06-25,login
12,2025-07-07,feature_use
12,2025-06-13,login
12,2025-07-03,feature_use
13,2025-05-16,login
13,2025-08-02,login
13,2025-06-19,login
13,2025-09-07,feature_use
13,2025-08-24,login
13,2025-08-18,login
13,2025-08-15,login
13,2025-06-10,login
13,2025-07-08,login
13,2025-06-11,login
13,2025-08-20,login
13,2025-08-05,login
13,2025-07-23,login
13,2025-09-03,login
13,2025-08-09,login
13,2025-07-20,feature_use
13,2025-09-28,login
13,2025-08-04,feature_use
13,2025-05-18,login
13,2025-06-04,login
13,2025-08-19,support_ticket
13,2025-06-25,login
13,2025-10-07,support_ticket
13,2025-09-06,login
13,2025-08-31,login
13,2025-07-28,feature_use
13,2025-10-17,login
13,2025-09-15,feature_use
13,2025-07-12,feature_use
13,2025-06-05,feature_use
13,2025-06-09,feature_use
13,2025-05-12,login
13,2025-10-21,login
13,2025-06-12,feature_use
13,2025-06-01,login
13,2025-09-08,login
13,2025-07-03,login
13,2025-10-11,login
13,2025-06-14,login
13,2025-07-15,login
13,2025-06-15,login
13,2025-10-16,login
13,2025-08-14,login
13,2025-06-02,login
13,2025-10-19,login
13,2025-06-27,login
13,2025-08-21,login
13,2025-07-29,feature_use
13,2025-07-09,feature_use
13,2025-07-01,feature_use
13,2025-08-11,login
13,2025-09-13,login
13,2025-10-06,login
13,2025-09-17,login
13,2025-10-30,login
13,2025-05-27,login
13,2025-05-11,login
13,2025-08-01,login
13,2025-05-21,feature_use
13,2025-09-09,login
13,2025-07-25,feature_use
13,2025-07-24,support_ticket
14,2025-06-15,login
14,2025-10-29,login
14,2025-09-07,login
14,2025-08-26,login
14,2025-06-16,login
14,2025-05-31,login
14,2025-08-16,login
14,2025-10-13,login
14,2025-07-14,login
14,2025-09-18,login
14,2025-10-14,feature_use
14,2025-06-25,login
14,2025-06-03,feature_use
14,2025-07-02,login
14,2025-07-20,login
14,2025-09-09,feature_use
14,2025-08-24,login
14,2025-07-07,feature_use
14,2025-10-03,login
14,2025-10-28,feature_use
14,2025-06-18,support_ticket
14,2025-06-08,login
14,2025-09-06,feature_use
14,2025-07-09,login
14,2025-10-25,login
14,2025-10-22,login
14,2025-07-06,login
14,2025-07-11,login
14,2025-07-24,support_ticket
14,2025-10-18,login
14,2025-06-27,login
14,2025-10-24,login
14,2025-06-13,support_ticket
14,2025-07-27,login
14,2025-08-11,login
14,2025-07-03,feature_use
14,2025-08-18,login
14,2025-08-22,login
14,2025-10-07,feature_use
14,2025-06-23,feature_use
14,2025-10-20,login
14,2025-08-25,feature_use
14,2025-06-30,login
14,2025-08-15,login
14,2025-10-21,login
14,2025-10-12,login
14,2025-08-03,login
14,2025-08-20,login
15,2025-10-23,feature_use
15,2025-10-24,login
15,2025-10-06,feature_use
15,2025-10-04,feature_use
15,2025-09-15,login
15,2025-10-08,login
15,2025-09-16,login
16,2025-08-27,login
16,2025-07-16,feature_use
16,2025-08-03,login
16,2025-08-13,login
16,2025-07-27,login
16,2025-07-19,login
16,2025-08-22,feature_use
16,2025-09-19,feature_use
16,2025-09-13,login
16,2025-08-20,feature_use
16,2025-09-01,feature_use
16,2025-08-19,login
16,2025-07-25,login
16,2025-07-20,login
16,2025-08-23,login
16,2025-08-26,feature_use
17,2025-09-24,login
17,2025-06-17,login
17,2025-10-08,feature_use
17,2025-10-28,feature_use
17,2025-08-27,login
17,2025-07-08,feature_use
17,2025-08-20,feature_use
17,2025-07-15,login
17,2025-09-04,feature_use
17,2025-06-18,login
17,2025-07-22,login
17,2025-06-15,login
17,2025-08-31,login
17,2025-07-03,login
17,2025-06-10,feature_use
17,2025-07-10,support_ticket
17,2025-07-09,login
17,2025-10-25,login
17,2025-09-18,feature_use
17,2025-08-12,login
17,2025-09-10,feature_use
17,2025-08-18,login
17,2025-09-21,login
17,2025-07-01,login
17,2025-06-26,login
17,2025-10-21,login
17,2025-07-21,login
17,2025-08-10,feature_use
17,2025-06-23,login
17,2025-07-26,login
17,2025-09-25,login
17,2025-10-20,login
17,2025-07-19,feature_use
17,2025-08-26,login
17,2025-08-29,login
17,2025-10-29,login
17,2025-09-09,login
17,2025-07-02,login
17,2025-10-01,login
17,2025-09-15,login
17,2025-07-13,login
17,2025-08-28,feature_use
17,2025-08-17,login
17,2025-10-14,login
17,2025-06-14,login
17,2025-09-23,feature_use
17,2025-09-11,login
17,2025-08-30,login
17,2025-09-26,login
17,2025-06-25,login
17,2025-07-20,login
17,2025-10-23,login
17,2025-10-03,feature_use
17,2025-08-02,feature_use
17,2025-08-07,login
17,2025-08-01,login
17,2025-09-14,login
17,2025-06-24,login
17,2025-09-20,login
17,2025-06-12,login
17,2025-08-23,feature_use
17,2025-10-12,login
17,2025-07-30,login
19,2025-09-22,feature_use
19,2025-09-20,login
19,2025-10-03,login
19,2025-10-07,login
19,2025-10-05,login
19,2025-09-11,feature_use
19,2025-09-28,login
19,2025-10-17,login
19,2025-10-02,feature_use
19,2025-10-20,login
19,2025-10-30,login
19,2025-10-15,login
19,2025-10-28,login
19,2025-10-16,feature_use
19,2025-10-12,login
19,2025-09-12,login
19,2025-09-27,feature_use
19,2025-09-13,login
19,2025-10-11,feature_use
19,2025-09-18,login
19,2025-09-24,login
19,2025-10-06,login
19,2025-09-21,feature_use
19,2025-10-23,login
19,2025-09-14,feature_use
19,2025-10-26,login
19,2025-10-24,login
19,2025-09-25,login
19,2025-09-10,login
19,2025-10-01,login
19,2025-10-18,feature_use
19,2025-09-15,login
19,2025-10-21,login
19,2025-10-13,login
19,2025-09-17,login
20,2025-09-02,login
20,2025-08-30,login
20,2025-09-17,login
20,2025-09-01,feature_use
20,2025-08-29,login
20,2025-09-04,feature_use
20,2025-08-24,login
20,2025-09-18,feature_use
20,2025-08-31,login
20,2025-09-23,login
20,2025-09-20,login
20,2025-09-10,login
20,2025-09-09,login
20,2025-09-13,login
20,2025-09-19,login
20,2025-09-14,feature_use
20,2025-09-15,login
20,2025-09-25,login
21,2025-06-19,login
21,2025-07-04,feature_use
21,2025-09-18,feature_use
21,2025-03-13,login
21,2025-02-22,login
21,2025-04-14,login
21,2025-03-05,login
21,2025-07-12,login
21,2025-05-04,login
21,2025-04-27,login
21,2025-04-10,login
21,2025-04-09,login
21,2025-07-17,login
21,2025-05-20,feature_use
21,2025-05-28,login
21,2025-10-10,login
21,2025-04-21,login
21,2025-04-01,feature_use
21,2025-03-15,login
21,2025-06-24,login
21,2025-09-24,login
21,2025-05-15,login
21,2025-09-16,login
21,2025-04-30,login
21,2025-08-06,login
21,2025-04-24,feature_use
21,2025-04-22,login
21,2025-02-27,login
21,2025-09-20,login
21,2025-09-02,feature_use
21,2025-03-25,login
21,2025-03-27,login
21,2025-10-07,feature_use
21,2025-09-04,login
21,2025-06-08,login
21,2025-09-27,login
21,2025-04-20,support_ticket
21,2025-02-18,login
