user_id,plan,monthly_revenue,signup_date,churn_date,is_active,status
1,Basic,199,2025-04-13,2025-06-01,0,cancelled
2,Basic,199,2025-09-28,,1,active
3,Premium,999,2025-04-17,,1,active
4,Standard,499,2025-03-13,2025-05-09,0,cancelled
5,Standard,499,2025-07-08,2025-08-27,0,cancelled
6,Basic,199,2025-01-21,2025-02-22,0,cancelled
7,Premium,999,2025-04-13,2025-09-09,0,cancelled
8,Basic,199,2025-05-02,2025-05-20,0,cancelled
9,Standard,499,2025-08-03,,1,active
10,Basic,199,2025-03-29,,1,active
11,Standard,499,2025-04-10,2025-05-01,0,cancelled
12,Basic,199,2025-06-01,2025-07-14,0,cancelled
13,Basic,199,2025-05-11,,1,active
14,Basic,199,2025-05-30,,1,active
15,Basic,199,2025-09-15,,1,active
16,Standard,499,2025-07-11,2025-09-20,0,cancelled
17,Premium,999,2025-06-10,,1,active
18,Premium,999,2025-01-22,2025-01-24,0,cancelled
19,Basic,199,2025-09-10,,1,active
20,Standard,499,2025-08-24,2025-09-26,0,cancelled
21,Standard,499,2025-02-18,2025-10-12,0,cancelled
22,Basic,199,2025-02-28,2025-03-24,0,cancelled
23,Basic,199,2025-06-19,2025-09-18,0,cancelled
24,Standard,499,2025-07-07,,1,active
25,Premium,999,2025-09-28,,1,active
26,Standard,499,2025-07-09,,1,active
27,Basic,199,2025-06-24,2025-07-06,0,cancelled
28,Standard,499,2025-02-20,,1,active
29,Basic,199,2025-02-24,2025-06-04,0,cancelled
30,Standard,499,2025-09-01,,1,active
31,Standard,499,2025-05-11,2025-09-14,0,cancelled
32,Basic,199,2025-05-15,,1,active
33,Premium,999,2025-01-21,2025-10-12,0,cancelled
34,Basic,199,2025-06-16,,1,active
35,Premium,999,2025-03-30,,1,active
36,Basic,199,2025-01-14,2025-04-16,0,cancelled
37,Basic,199,2025-08-30,,1,active
38,Basic,199,2025-09-22,,1,active
39,Basic,199,2025-02-22,2025-03-03,0,cancelled
40,Basic,199,2025-04-02,2025-06-28,0,cancelled
41,Standard,499,2025-09-21,,1,active
42,Standard,499,2025-02-04,,1,active
43,Standard,499,2025-07-25,,1,active
44,Basic,199,2025-03-22,2025-10-27,0,cancelled
45,Standard,499,2025-02-19,2025-04-27,0,cancelled
46,Basic,199,2025-01-02,2025-04-26,0,cancelled
47,Standard,499,2025-02-23,2025-05-08,0,cancelled
48,Basic,199,2025-04-16,2025-04-21,0,cancelled
