user_id,signup_date,acquisition_channel,plan,onboarding_completed,signup_month,churn_date,is_active
1,13-04-2025,Organic Search,Basic,0,2025-04,01-06-2025,0
2,28-09-2025,App Store,Basic,0,2025-09,,1
3,17-04-2025,App Store,Premium,1,2025-04,,1
4,13-03-2025,Paid Social,Standard,1,2025-03,09-05-2025,0
5,08-07-2025,Paid Social,Standard,0,2025-07,27-08-2025,0
6,21-01-2025,Paid Social,Basic,0,2025-01,22-02-2025,0
7,13-04-2025,Referral,Premium,1,2025-04,09-09-2025,0
8,02-05-2025,Organic Search,Basic,1,2025-05,20-05-2025,0
9,03-08-2025,Organic Search,Standard,1,2025-08,,1
10,29-03-2025,Organic Search,Basic,1,2025-03,,1
11,10-04-2025,Paid Social,Standard,1,2025-04,01-05-2025,0
12,01-06-2025,Organic Search,Basic,1,2025-06,14-07-2025,0
13,11-05-2025,Referral,Basic,1,2025-05,,1
14,30-05-2025,App Store,Basic,1,2025-05,,1
15,15-09-2025,Paid Social,Basic,0,2025-09,,1
16,11-07-2025,Referral,Standard,0,2025-07,20-09-2025,0
17,10-06-2025,Paid Social,Premium,1,2025-06,,1
18,22-01-2025,Email Campaign,Premium,1,2025-01,24-01-2025,0
19,10-09-2025,App Store,Basic,1,2025-09,,1
20,24-08-2025,App Store,Standard,1,2025-08,26-09-2025,0
21,18-02-2025,App Store,Standard,0,2025-02,12-10-2025,0
22,28-02-2025,Organic Search,Basic,1,2025-02,24-03-2025,0
23,19-06-2025,Email Campaign,Basic,0,2025-06,18-09-2025,0
24,07-07-2025,Email Campaign,Standard,1,2025-07,,1
25,28-09-2025,Organic Search,Premium,1,2025-09,,1
26,,App Store,Standard,1,2025-07,,1
27,24-06-2025,Organic Search,Basic,1,2025-06,09-07-2025,0
28,20-02-2025,Referral,Standard,1,2025-02,,1
29,24-02-2025,Organic Search,Basic,0,2025-02,04-06-2025,0
30,01-09-2025,Paid Social,Standard,0,2025-09,,1
31,11-05-2025,Email Campaign,Standard,0,2025-05,14-09-2025,0
32,15-05-2025,Referral,Basic,0,2025-05,,1
33,21-01-2025,Paid Social,Premium,0,2025-01,12-10-2025,0
34,16-06-2025,Paid Social,Basic,1,2025-06,,1
35,30-03-2025,Email Campaign,Premium,1,2025-03,,1
36,14-01-2025,Organic Search,Basic,0,2025-01,16-04-2025,0
37,30-08-2025,Paid Social,Basic,0,2025-08,,1
38,22-09-2025,App Store,Basic,0,2025-09,,1
39,22-02-2025,Email Campaign,Basic,1,2025-02,03-03-2025,0
40,02-04-2025,Paid Social,Basic,1,2025-04,28-06-2025,0
41,21-09-2025,Email Campaign,Standard,0,2025-09,,1
42,04-02-2025,Email Campaign,Standard,1,2025-02,,1
43,25-07-2025,App Store,Standard,1,2025-07,,1
44,22-03-2025,Paid Social,Basic,0,2025-03,27-10-2025,0
45,19-02-2025,Organic Search,Standard,0,2025-02,27-04-2025,0
46,02-01-2025,Organic Search,Basic,1,2025-01,26-04-2025,0
47,23-02-2025,Organic Search,Standard,0,2025-02,08-05-2025,0
48,16-04-2025,Referral,Basic,0,2025-04,21-04-2025,0
49,17-09-2025,Organic Search,Premium,0,2025-09,06-10-2025,0
50,10-07-2025,Referral,Standard,0,2025-07,,1
51,06-08-2025,Paid Social,Standard,1,2025-08,28-09-2025,0
